,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT,BA,BTC-USD,DJI,EURUSD=X,GC=F,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,340.489990234375,10312.1162109375,29398.099609375,1.0845986604690552,1582.699951171875,177.95965576171875,340.489990234375,10312.1162109375,29398.099609375,1.0845986604690552,1582.699951171875,185.35000610351562,344.5,10321.99609375,29398.099609375,1.0862481594085693,1582.699951171875,185.41000366210938,338.0,10125.5341796875,29398.099609375,1.0831302404403687,1574.800048828125,182.64999389648438,342.29998779296875,10211.55078125,29398.099609375,1.0845986604690552,1575.800048828125,183.25,4199800.0,43338264162,0.0,0.0,68.0,23149500.0
2020-02-15,,9889.4248046875,,,,,,9889.4248046875,,,,,,10341.5556640625,,,,,,9874.427734375,,,,,,10313.8564453125,,,,,,43865054831,,,,
2020-02-16,,9934.43359375,,,,,,9934.43359375,,,,,,10053.96875,,,,,,9722.38671875,,,,,,9889.1796875,,,,,,43374780305,,,,
2020-02-17,,9690.142578125,,1.0841753482818604,,,,9690.142578125,,1.0841753482818604,,,,9938.8154296875,,1.0854003429412842,,,,9507.6376953125,,1.0830246210098267,,,,9936.560546875,,1.0840578079223633,,,,45998298413,,0.0,,
2020-02-18,338.8800048828125,10141.99609375,29232.19921875,1.0840108394622803,1600.0,179.76466369628906,338.8800048828125,10141.99609375,29232.19921875,1.0840108394622803,1600.0,187.22999572753906,339.989990234375,10161.935546875,29232.19921875,1.0839003324508667,1604.300048828125,187.6999969482422,336.1000061035156,9632.3828125,29232.19921875,1.078690528869629,1579.800048828125,185.5,338.7699890136719,9691.23046875,29232.19921875,1.0837054252624512,1579.800048828125,185.61000061035156,2904600.0,47271023953,0.0,0.0,310.0,27792200.0
2020-02-19,338.29998779296875,9633.38671875,29348.0,1.079540491104126,1607.5,180.30381774902344,338.29998779296875,9633.38671875,29348.0,1.079540491104126,1607.5,187.27999877929688,341.4700012207031,10191.67578125,29348.0,1.0808473825454712,1610.5,188.17999267578125,335.8599853515625,9611.2236328125,29348.0,1.0783600807189941,1599.699951171875,186.47000122070312,338.1199951171875,10143.798828125,29348.0,1.0794706344604492,1600.5999755859375,188.05999755859375,4935700.0,46992019710,0.0,0.0,542.0,29997500.0
2020-02-20,336.2799987792969,9608.4755859375,29220.0,1.081009864807129,1616.5999755859375,177.55032348632812,336.2799987792969,9608.4755859375,29220.0,1.081009864807129,1616.5999755859375,184.4199981689453,341.239990234375,9643.216796875,29220.0,1.0821000337600708,1621.0,187.25,335.3900146484375,9507.900390625,29220.0,1.0779578685760498,1603.0,181.10000610351562,338.2900085449219,9629.3251953125,29220.0,1.080964207649231,1606.5,186.9499969482422,2807500.0,44925260237,0.0,0.0,117.0,36862400.0
2020-02-21,330.3800048828125,9686.44140625,28992.400390625,1.078799843788147,1644.5999755859375,171.9375,330.3800048828125,9686.44140625,28992.400390625,1.078799843788147,1644.5999755859375,178.58999633789062,334.6600036621094,9723.0146484375,28992.400390625,1.0863661766052246,1645.0,183.5,330.2300109863281,9589.7431640625,28992.400390625,1.078771948814392,1619.300048828125,177.25,334.04998779296875,9611.7822265625,28992.400390625,1.078771948814392,1619.300048828125,183.1699981689453,3709900.0,40930547513,0.0,0.0,186.0,48572600.0
2020-02-22,,9663.181640625,,,,,,9663.181640625,,,,,,9698.2314453125,,,,,,9600.728515625,,,,,,9687.70703125,,,,,,35838025154,,,,
2020-02-23,,9924.515625,,,,,,9924.515625,,,,,,9937.404296875,,,,,,9657.791015625,,,,,,9663.318359375,,,,,,41185185761,,,,
2020-02-24,317.8999938964844,9650.1748046875,27960.80078125,1.0839051008224487,1672.4000244140625,164.5242919921875,317.8999938964844,9650.1748046875,27960.80078125,1.0839051008224487,1672.4000244140625,170.88999938964844,321.739990234375,9951.74609375,27960.80078125,1.0863661766052246,1686.5999755859375,174.5500030517578,316.3299865722656,9537.04296875,27960.80078125,1.0808473825454712,1650.0,163.22999572753906,320.0,9921.5830078125,27960.80078125,1.0838581323623657,1657.0,167.77000427246094,6073200.0,45080496648,0.0,0.0,435.0,68311100.0
2020-02-25,304.1400146484375,9341.705078125,27081.400390625,1.0849199295043945,1646.9000244140625,161.80938720703125,304.1400146484375,9341.705078125,27081.400390625,1.0849199295043945,1646.9000244140625,168.07000732421875,320.6400146484375,9652.7373046875,27081.400390625,1.088174819946289,1653.699951171875,174.83999633789062,303.6300048828125,9305.021484375,27081.400390625,1.083177089691162,1632.300048828125,167.64999389648438,318.260009765625,9651.3125,27081.400390625,1.084904670715332,1645.0999755859375,174.1999969482422,8052500.0,42515259129,0.0,0.0,409.0,68073300.0
2020-02-26,305.5899963378906,8820.5224609375,26957.599609375,1.0881996154785156,1640.0,163.83114624023438,305.5899963378906,8820.5224609375,26957.599609375,1.0881996154785156,1640.0,170.1699981689453,315.2200012207031,9354.7783203125,26957.599609375,1.090358018875122,1648.0999755859375,173.25999450683594,304.05999755859375,8704.4267578125,26957.599609375,1.085564136505127,1636.4000244140625,168.2100067138672,307.0,9338.2900390625,26957.599609375,1.0881001949310303,1644.0,169.7100067138672,6987300.0,50420050762,0.0,0.0,1990.0,56206100.0
2020-02-27,287.760009765625,8784.494140625,25766.599609375,1.0885894298553467,1640.0,152.28778076171875,287.760009765625,8784.494140625,25766.599609375,1.0885894298553467,1640.0,158.17999267578125,301.0,8932.892578125,25766.599609375,1.1005700826644897,1658.0,167.02999877929688,284.2900085449219,8577.19921875,25766.599609375,1.088565707206726,1638.5,157.97999572753906,300.3699951171875,8825.09375,25766.599609375,1.088565707206726,1641.0999755859375,163.32000732421875,10982400.0,45470195695,0.0,0.0,707.0,93174900.0
2020-02-28,275.1099853515625,8672.455078125,25409.400390625,1.0997228622436523,1564.0999755859375,155.97508239746094,275.1099853515625,8672.455078125,25409.400390625,1.0997228622436523,1564.0999755859375,162.00999450683594,282.8599853515625,8890.4560546875,25409.400390625,1.10527765750885,1642.5,163.7100067138672,269.6000061035156,8492.9326171875,25409.400390625,1.095158338546753,1564.0999755859375,152.0,278.07000732421875,8788.728515625,25409.400390625,1.0995535850524902,1640.300048828125,152.41000366210938,15364300.0,44605450443,0.0,0.0,289.0,97012700.0
2020-02-29,,8599.5087890625,,,,,,8599.5087890625,,,,,,8775.6318359375,,,,,,8599.5087890625,,,,,,8671.212890625,,,,,,35792392544,,,,
2020-03-01,,8562.4541015625,,,,,,8562.4541015625,,,,,,8726.796875,,,,,,8471.212890625,,,,,,8599.7587890625,,,,,,35349164300,,,,
2020-03-02,289.2699890136719,8869.669921875,26703.30078125,1.1051311492919922,1592.300048828125,166.3535614013672,289.2699890136719,8869.669921875,26703.30078125,1.1051311492919922,1592.300048828125,172.7899932861328,291.7099914550781,8921.30859375,26703.30078125,1.116407871246338,1608.300048828125,172.9199981689453,274.2900085449219,8532.630859375,26703.30078125,1.1037284135818481,1574.300048828125,162.30999755859375,279.5400085449219,8563.2646484375,26703.30078125,1.1052532196044922,1583.9000244140625,165.30999755859375,11012300.0,42857674409,0.0,0.0,537.0,71030800.0
2020-03-03,280.6199951171875,8787.7861328125,25917.400390625,1.1144047975540161,1642.0999755859375,158.38197326660156,280.6199951171875,8787.7861328125,25917.400390625,1.1144047975540161,1642.0999755859375,164.50999450683594,297.44000244140625,8901.5986328125,25917.400390625,1.120749592781067,1645.300048828125,175.0,278.0799865722656,8704.990234375,25917.400390625,1.1097301244735718,1594.0,162.25999450683594,292.0,8865.3876953125,25917.400390625,1.1144297122955322,1594.5,173.8000030517578,7499300.0,42386715821,0.0,0.0,610.0,71677000.0
